layers,from,to,weight
l4ORP_l5PO,Act as access point for food,Computer and electronics shops,1
l4ORP_l5PO,Act as access point for food,Conference and exhibition centres (animal racing),1
l4ORP_l5PO,Act as access point for food,Conference and exhibition centres (general),1
l4ORP_l5PO,Act as access point for food,Construction and engineering,1
l4ORP_l5PO,Act as access point for food,Consumer finance,1
l4ORP_l5PO,Act as access point for food,Council offices,1
l4ORP_l5PO,Act as access point for food,Couriers,1
l4ORP_l5PO,Act as access point for food,Courthouses,1
l4ORP_l5PO,Act as access point for food,Coworking office spaces,1
l4ORP_l5PO,Act as access point for food,Creative spaces,1
l4ORP_l5PO,Act as access point for food,Day centres,1
l4ORP_l5PO,Act as access point for food,Death-care services,1
l4ORP_l5PO,Act as access point for food,Dental and orthodontal practices,1
l4ORP_l5PO,Act as access point for food,Dining and catering services,1
l4ORP_l5PO,Act as access point for food,Diplomatic buildings,1
l4ORP_l5PO,Act as access point for food,Distribution centres,1
l4ORP_l5PO,Act as access point for food,Driving schools,1
l4ORP_l5PO,Act as access point for food,Eateries,1
l4ORP_l5PO,Act as access point for food,Electricity provider offices,1
l4ORP_l5PO,Act as access point for food,Environmental consulting and quantity surveying firms,1
l4ORP_l5PO,Act as access point for food,Environmental regulators,1
l4ORP_l5PO,Act as access point for food,Exterior building trades,1
l4ORP_l5PO,Act as access point for food,Financial advisors,1
l4ORP_l5PO,Act as access point for food,Fire stations,1
l4ORP_l5PO,Act as access point for food,Food banks,1
l4ORP_l5PO,Act as access point for food,Furnishing retail,1
l4ORP_l5PO,Act as access point for food,Furnishing services,1
l4ORP_l5PO,Act as access point for food,Gas provider offices,1
l4ORP_l5PO,Act as access point for food,Healthcare (alternative),1
l4ORP_l5PO,Act as access point for food,Healthcare (physiotherapy),1
l4ORP_l5PO,Act as access point for food,Healthcare (specialist),1
l4ORP_l5PO,Act as access point for food,Healthcare outpatient services,1
l4ORP_l5PO,Act as access point for food,Higher education,1
l4ORP_l5PO,Act as access point for food,Home and outdoor maintenance retail,1
l4ORP_l5PO,Act as access point for food,Home and outdoor maintenance services,1
l4ORP_l5PO,Act as access point for food,Homeless shelters,1
l4ORP_l5PO,Act as access point for food,Hospitals (general),1
l4ORP_l5PO,Act as access point for food,Hospitals (with A&E),1
l4ORP_l5PO,Act as access point for food,Hotels,1
l4ORP_l5PO,Act as access point for food,Insurance provider offices,1
l4ORP_l5PO,Act as access point for food,Integrated waste facilities,1
l4ORP_l5PO,Act as access point for food,Interior building trades,1
l4ORP_l5PO,Act as access point for food,Internet cafes,1
l4ORP_l5PO,Act as access point for food,IT software and services,1
l4ORP_l5PO,Act as access point for food,Learned societies,1
l4ORP_l5PO,Act as access point for food,Legal services,1
l4ORP_l5PO,Act as access point for food,Libraries and archives,1
l4ORP_l5PO,Act as access point for food,Locksmiths and cobblers,1
l4ORP_l5PO,Act as access point for food,Manufacturing (consumer discretionary),1
l4ORP_l5PO,Act as access point for food,Manufacturing (consumer staples),1
l4ORP_l5PO,Act as access point for food,Manufacturing (energy),1
l4ORP_l5PO,Act as access point for food,Manufacturing (healthcare),1
l4ORP_l5PO,Act as access point for food,Manufacturing (industrials),1
l4ORP_l5PO,Act as access point for food,Manufacturing (IT hardware),1
l4ORP_l5PO,Act as access point for food,Manufacturing (materials),1
l4ORP_l5PO,Act as access point for food,"Marinas, boatyards, and ferry terminals",1
l4ORP_l5PO,Act as access point for food,Medical laboratories,1
l4ORP_l5PO,Act as access point for food,Medical practices,1
l4ORP_l5PO,Act as access point for food,Mental health services,1
l4ORP_l5PO,Act as access point for food,Multi-line retail,1
l4ORP_l5PO,Act as access point for food,Museums and art galleries,1
l4ORP_l5PO,Act as access point for food,Music and theatre venues,1
l4ORP_l5PO,Act as access point for food,National government buildings,1
l4ORP_l5PO,Act as access point for food,Nurseries,1
l4ORP_l5PO,Act as access point for food,Observatories,1
l4ORP_l5PO,Act as access point for food,Offices (other),1
l4ORP_l5PO,Act as access point for food,Off-licenses,1
l4ORP_l5PO,Act as access point for food,Opticians and ophthalmologists,1
l4ORP_l5PO,Act as access point for food,Other discretionary goods retail,1
l4ORP_l5PO,Act as access point for food,Other staple goods retail,1
l4ORP_l5PO,Act as access point for food,Parliamentary buildings,1
l4ORP_l5PO,Act as access point for food,Pharmacies,1
l4ORP_l5PO,Act as access point for food,Playgrounds (indoor),1
l4ORP_l5PO,Act as access point for food,Police stations,1
l4ORP_l5PO,Act as access point for food,Political offices,1
l4ORP_l5PO,Act as access point for food,Post offices,1
l4ORP_l5PO,Act as access point for food,Power stations,1
l4ORP_l5PO,Act as access point for food,Prison and jails,1
l4ORP_l5PO,Act as access point for food,Publishing offices,1
l4ORP_l5PO,Act as access point for food,Real estate management offices,1
l4ORP_l5PO,Act as access point for food,Recycling centres,1
l4ORP_l5PO,Act as access point for food,Registrar offices,1
l4ORP_l5PO,Act as access point for food,Religious buildings,1
l4ORP_l5PO,Act as access point for food,Removal services,1
l4ORP_l5PO,Act as access point for food,Research and consulting services,1
l4ORP_l5PO,Act as access point for food,Residential properties,1
l4ORP_l5PO,Act as access point for food,Retail headquarters,1
l4ORP_l5PO,Act as access point for food,Schools,1
l4ORP_l5PO,Act as access point for food,Security services,1
l4ORP_l5PO,Act as access point for food,Shopping centres,1
l4ORP_l5PO,Act as access point for food,Smaller food markets,1
l4ORP_l5PO,Act as access point for food,Social work offices,1
l4ORP_l5PO,Act as access point for food,Sports clubhouses,1
l4ORP_l5PO,Act as access point for food,Sports facilities (indoor),1
l4ORP_l5PO,Act as access point for food,"Sports facilities (outdoor, impermeable, with club)",1
l4ORP_l5PO,Act as access point for food,"Sports facilities (outdoor, permeable, with club)",1
l4ORP_l5PO,Act as access point for food,Stables,1
l4ORP_l5PO,Act as access point for food,Subway stations,1
l4ORP_l5PO,Act as access point for food,Supermarkets,1
l4ORP_l5PO,Act as access point for food,Takeaways and fast food,1
l4ORP_l5PO,Act as access point for food,Tourism offices,1
l4ORP_l5PO,Act as access point for food,Train stations (major),1
l4ORP_l5PO,Act as access point for food,Train stations (minor),1
l4ORP_l5PO,Act as access point for food,Training centres,1
l4ORP_l5PO,Act as access point for food,Transport providers and control centres,1
l4ORP_l5PO,Act as access point for food,Travel agencies,1
l4ORP_l5PO,Act as access point for food,Union offices,1
l4ORP_l5PO,Act as access point for food,Utility trades,1
l4ORP_l5PO,Act as access point for food,Vehicle maintenance services,1
l4ORP_l5PO,Act as access point for food,Vehicle rental services,1
l4ORP_l5PO,Act as access point for food,Veterinary practices,1
l4ORP_l5PO,Act as access point for food,Waste collection service offices,1
l4ORP_l5PO,Act as access point for food,Waste sorting centres,1
l4ORP_l5PO,Act as access point for food,Wastewater treatment works,1
l4ORP_l5PO,Act as access point for food,Water treatment works,1
l4ORP_l5PO,Act as access point for food,Wholesale retail,1
l4ORP_l5PO,Act as access point for food,Zoos,1
l4ORP_l5PO,Act as access point for gas,Accountancy firms,1
l4ORP_l5PO,Act as access point for gas,Advertising,1
l4ORP_l5PO,Act as access point for gas,Agriculture and aquaculture,1
l4ORP_l5PO,Act as access point for gas,Air bases,1
l4ORP_l5PO,Act as access point for gas,Airports (major),1
l4ORP_l5PO,Act as access point for gas,Airports (minor),1
l4ORP_l5PO,Act as access point for gas,Ambulance stations,1
l4ORP_l5PO,Act as access point for gas,Animal care,1
l4ORP_l5PO,Act as access point for gas,Animal shelters,1
l4ORP_l5PO,Act as access point for gas,Apparel retail,1
l4ORP_l5PO,Act as access point for gas,Apparel services,1
l4ORP_l5PO,Act as access point for gas,Armed forces barracks,1
l4ORP_l5PO,Act as access point for gas,Armed forces headquarters,1
l4ORP_l5PO,Act as access point for gas,Assisted living,1
l4ORP_l5PO,Act as access point for gas,Attractions,1
l4ORP_l5PO,Act as access point for gas,Automotive retail,1
l4ORP_l5PO,Act as access point for gas,Bank headquarters,1
l4ORP_l5PO,Act as access point for gas,Banks,1
l4ORP_l5PO,Act as access point for gas,Bars and nightclubs,1
l4ORP_l5PO,Act as access point for gas,Beauty services,1
l4ORP_l5PO,Act as access point for gas,Blood banks,1
l4ORP_l5PO,Act as access point for gas,Botanical gardens,1
l4ORP_l5PO,Act as access point for gas,Broadband provider offices,1
l4ORP_l5PO,Act as access point for gas,Broadcasting,1
l4ORP_l5PO,Act as access point for gas,Bus stations,1
l4ORP_l5PO,Act as access point for gas,Business services,1
l4ORP_l5PO,Act as access point for gas,Cafes,1
l4ORP_l5PO,Act as access point for gas,Camping grounds,1
l4ORP_l5PO,Act as access point for gas,Career and employment support services,1
l4ORP_l5PO,Act as access point for gas,Casinos and gaming,1
l4ORP_l5PO,Act as access point for gas,Castles and fortifications,1
l4ORP_l5PO,Act as access point for gas,Charity organisations,1
l4ORP_l5PO,Act as access point for gas,Charity shops,1
l4ORP_l5PO,Act as access point for gas,Children's clubs,1
l4ORP_l5PO,Act as access point for gas,Cinemas,1
l4ORP_l5PO,Act as access point for gas,Citizens Advice Bureaus,1
l4ORP_l5PO,Act as access point for gas,Community centres,1
l4ORP_l5PO,Act as access point for gas,Computer and electronics shops,1
l4ORP_l5PO,Act as access point for gas,Conference and exhibition centres (animal racing),1
l4ORP_l5PO,Act as access point for gas,Conference and exhibition centres (general),1
l4ORP_l5PO,Act as access point for gas,Construction and engineering,1
l4ORP_l5PO,Act as access point for gas,Consumer finance,1
l4ORP_l5PO,Act as access point for gas,Council offices,1
l4ORP_l5PO,Act as access point for gas,Couriers,1
l4ORP_l5PO,Act as access point for gas,Courthouses,1
l4ORP_l5PO,Act as access point for gas,Coworking office spaces,1
l4ORP_l5PO,Act as access point for gas,Creative spaces,1
l4ORP_l5PO,Act as access point for gas,Day centres,1
l4ORP_l5PO,Act as access point for gas,Death-care services,1
l4ORP_l5PO,Act as access point for gas,Dental and orthodontal practices,1
l4ORP_l5PO,Act as access point for gas,Dining and catering services,1
l4ORP_l5PO,Act as access point for gas,Diplomatic buildings,1
l4ORP_l5PO,Act as access point for gas,Distribution centres,1
l4ORP_l5PO,Act as access point for gas,Driving schools,1
l4ORP_l5PO,Act as access point for gas,Eateries,1
l4ORP_l5PO,Act as access point for gas,Electricity provider offices,1
l4ORP_l5PO,Act as access point for gas,Environmental consulting and quantity surveying firms,1
l4ORP_l5PO,Act as access point for gas,Events management,1
l4ORP_l5PO,Act as access point for gas,Exterior building trades,1
l4ORP_l5PO,Act as access point for gas,Financial advisors,1
l4ORP_l5PO,Act as access point for gas,Fire stations,1
l4ORP_l5PO,Act as access point for gas,Food banks,1
l4ORP_l5PO,Act as access point for gas,Furnishing retail,1
l4ORP_l5PO,Act as access point for gas,Furnishing services,1
l4ORP_l5PO,Act as access point for gas,Gas provider offices,1
l4ORP_l5PO,Act as access point for gas,Healthcare (alternative),1
l4ORP_l5PO,Act as access point for gas,Healthcare (physiotherapy),1
l4ORP_l5PO,Act as access point for gas,Healthcare (specialist),1
l4ORP_l5PO,Act as access point for gas,Healthcare outpatient services,1
l4ORP_l5PO,Act as access point for gas,Higher education,1
l4ORP_l5PO,Act as access point for gas,Home and outdoor maintenance retail,1
l4ORP_l5PO,Act as access point for gas,Home and outdoor maintenance services,1
l4ORP_l5PO,Act as access point for gas,Homeless shelters,1
l4ORP_l5PO,Act as access point for gas,Hospitals (general),1
l4ORP_l5PO,Act as access point for gas,Hospitals (with A&E),1
l4ORP_l5PO,Act as access point for gas,Hotels,1
l4ORP_l5PO,Act as access point for gas,Insurance provider offices,1
l4ORP_l5PO,Act as access point for gas,Integrated waste facilities,1
l4ORP_l5PO,Act as access point for gas,Interior building trades,1
l4ORP_l5PO,Act as access point for gas,Internet cafes,1
l4ORP_l5PO,Act as access point for gas,IT software and services,1
l4ORP_l5PO,Act as access point for gas,Landfills and endpoint waste sites,1
l4ORP_l5PO,Act as access point for gas,Learned societies,1
l4ORP_l5PO,Act as access point for gas,Legal services,1
l4ORP_l5PO,Act as access point for gas,Libraries and archives,1
l4ORP_l5PO,Act as access point for gas,Lifeboat stations,1
l4ORP_l5PO,Act as access point for gas,Locksmiths and cobblers,1
l4ORP_l5PO,Act as access point for gas,Manufacturing (consumer discretionary),1
l4ORP_l5PO,Act as access point for gas,Manufacturing (consumer staples),1
l4ORP_l5PO,Act as access point for gas,Manufacturing (energy),1
l4ORP_l5PO,Act as access point for gas,Manufacturing (healthcare),1
l4ORP_l5PO,Act as access point for gas,Manufacturing (industrials),1
l4ORP_l5PO,Act as access point for gas,Manufacturing (IT hardware),1
l4ORP_l5PO,Act as access point for gas,Manufacturing (materials),1
l4ORP_l5PO,Act as access point for gas,"Marinas, boatyards, and ferry terminals",1
l4ORP_l5PO,Act as access point for gas,Medical laboratories,1
l4ORP_l5PO,Act as access point for gas,Medical practices,1
l4ORP_l5PO,Act as access point for gas,Mental health services,1
l4ORP_l5PO,Act as access point for gas,Multi-line retail,1
l4ORP_l5PO,Act as access point for gas,Museums and art galleries,1
l4ORP_l5PO,Act as access point for gas,Music and theatre venues,1
l4ORP_l5PO,Act as access point for gas,National government buildings,1
l4ORP_l5PO,Act as access point for gas,Nurseries,1
l4ORP_l5PO,Act as access point for gas,Observatories,1
l4ORP_l5PO,Act as access point for gas,Offices (other),1
l4ORP_l5PO,Act as access point for gas,Off-licenses,1
l4ORP_l5PO,Act as access point for gas,Opticians and ophthalmologists,1
l4ORP_l5PO,Act as access point for gas,Other discretionary goods retail,1
l4ORP_l5PO,Act as access point for gas,Other discretionary services,1
l4ORP_l5PO,Act as access point for gas,Other staple goods retail,1
l4ORP_l5PO,Act as access point for gas,Parliamentary buildings,1
l4ORP_l5PO,Act as access point for gas,Pharmacies,1
l4ORP_l5PO,Act as access point for gas,Police stations,1
l4ORP_l5PO,Act as access point for gas,Political offices,1
l4ORP_l5PO,Act as access point for gas,Post offices,1
l4ORP_l5PO,Act as access point for gas,Power stations,1
l4ORP_l5PO,Act as access point for gas,Prison and jails,1
l4ORP_l5PO,Act as access point for gas,Publishing offices,1
l4ORP_l5PO,Act as access point for gas,Real estate management offices,1
l4ORP_l5PO,Act as access point for gas,Recycling centres,1
l4ORP_l5PO,Act as access point for gas,Registrar offices,1
l4ORP_l5PO,Act as access point for gas,Religious buildings,1
l4ORP_l5PO,Act as access point for gas,Removal services,1
l4ORP_l5PO,Act as access point for gas,Research and consulting services,1
l4ORP_l5PO,Act as access point for gas,Residential properties,1
l4ORP_l5PO,Act as access point for gas,Retail headquarters,1
l4ORP_l5PO,Act as access point for gas,Schools,1
l4ORP_l5PO,Act as access point for gas,Security services,1
l4ORP_l5PO,Act as access point for gas,Shopping centres,1
l4ORP_l5PO,Act as access point for gas,Smaller food markets,1
l4ORP_l5PO,Act as access point for gas,Social work offices,1
l4ORP_l5PO,Act as access point for gas,Sports clubhouses,1
l4ORP_l5PO,Act as access point for gas,Sports facilities (indoor),1
l4ORP_l5PO,Act as access point for gas,"Sports facilities (outdoor, impermeable, with club)",1
l4ORP_l5PO,Act as access point for gas,"Sports facilities (outdoor, permeable, with club)",1
l4ORP_l5PO,Act as access point for gas,Stables,1
l4ORP_l5PO,Act as access point for gas,Subway stations,1
l4ORP_l5PO,Act as access point for gas,Supermarkets,1
l4ORP_l5PO,Act as access point for gas,Takeaways and fast food,1
l4ORP_l5PO,Act as access point for gas,Tourism offices,1
l4ORP_l5PO,Act as access point for gas,Train stations (major),1
l4ORP_l5PO,Act as access point for gas,Training centres,1
l4ORP_l5PO,Act as access point for gas,Transport providers and control centres,1
l4ORP_l5PO,Act as access point for gas,Travel agencies,1
l4ORP_l5PO,Act as access point for gas,Traveller sites,1
l4ORP_l5PO,Act as access point for gas,Union offices,1
l4ORP_l5PO,Act as access point for gas,Utility trades,1
l4ORP_l5PO,Act as access point for gas,Vehicle depots,1
l4ORP_l5PO,Act as access point for gas,Vehicle impounds,1
l4ORP_l5PO,Act as access point for gas,Vehicle maintenance services,1
l4ORP_l5PO,Act as access point for gas,Vehicle rental services,1
l4ORP_l5PO,Act as access point for gas,Veterinary practices,1
l4ORP_l5PO,Act as access point for gas,Waste collection service offices,1
l4ORP_l5PO,Act as access point for gas,Waste sorting centres,1
l4ORP_l5PO,Act as access point for gas,Wastewater treatment works,1
l4ORP_l5PO,Act as access point for gas,Water treatment works,1
l4ORP_l5PO,Act as access point for gas,Wholesale retail,1
l4ORP_l5PO,Act as access point for goods distribution,Apparel services,1
l4ORP_l5PO,Act as access point for goods distribution,Couriers,1
l4ORP_l5PO,Act as access point for goods distribution,Post boxes,1
l4ORP_l5PO,Act as access point for goods distribution,Post offices,1
l4ORP_l5PO,Act as access point for goods distribution,Smaller food markets,1
l4ORP_l5PO,Act as access point for goods distribution,Supermarkets,1
l4ORP_l5PO,Act as access point for petrol or oil,Air bases,1
l4ORP_l5PO,Act as access point for petrol or oil,Airports (major),1
l4ORP_l5PO,Act as access point for petrol or oil,Airports (minor),1
l4ORP_l5PO,Act as access point for petrol or oil,Ambulance stations,1
l4ORP_l5PO,Act as access point for petrol or oil,Automotive retail,1
l4ORP_l5PO,Act as access point for petrol or oil,Lifeboat stations,1
l4ORP_l5PO,Act as access point for petrol or oil,"Marinas, boatyards, and ferry terminals",1
l4ORP_l5PO,Act as access point for petrol or oil,Vehicle depots,1
l4ORP_l5PO,Act as access point for petrol or oil,Vehicle impounds,1
l4ORP_l5PO,Act as access point for petrol or oil,Vehicle maintenance services,1
l4ORP_l5PO,Act as access point for petrol or oil,Wholesale retail,1
l4ORP_l5PO,Act as access point for potable water,Accountancy firms,1
l4ORP_l5PO,Act as access point for potable water,Advertising,1
l4ORP_l5PO,Act as access point for potable water,Agriculture and aquaculture,1
l4ORP_l5PO,Act as access point for potable water,Air bases,1
l4ORP_l5PO,Act as access point for potable water,Airports (major),1
l4ORP_l5PO,Act as access point for potable water,Airports (minor),1
l4ORP_l5PO,Act as access point for potable water,Ambulance stations,1
l4ORP_l5PO,Act as access point for potable water,Animal care,1
l4ORP_l5PO,Act as access point for potable water,Apparel retail,1
l4ORP_l5PO,Act as access point for potable water,Apparel services,1
l4ORP_l5PO,Act as access point for potable water,Armed forces barracks,1
l4ORP_l5PO,Act as access point for potable water,Armed forces headquarters,1
l4ORP_l5PO,Act as access point for potable water,Assisted living,1
l4ORP_l5PO,Act as access point for potable water,Attractions,1
l4ORP_l5PO,Act as access point for potable water,Automotive retail,1
l4ORP_l5PO,Act as access point for potable water,Bank headquarters,1
l4ORP_l5PO,Act as access point for potable water,Banks,1
l4ORP_l5PO,Act as access point for potable water,Bars and nightclubs,1
l4ORP_l5PO,Act as access point for potable water,Beauty services,1
l4ORP_l5PO,Act as access point for potable water,Blood banks,1
l4ORP_l5PO,Act as access point for potable water,Botanical gardens,1
l4ORP_l5PO,Act as access point for potable water,Broadband provider offices,1
l4ORP_l5PO,Act as access point for potable water,Broadcasting,1
l4ORP_l5PO,Act as access point for potable water,Bus stations,1
l4ORP_l5PO,Act as access point for potable water,Business services,1
l4ORP_l5PO,Act as access point for potable water,Cafes,1
l4ORP_l5PO,Act as access point for potable water,Camping grounds,1
l4ORP_l5PO,Act as access point for potable water,Career and employment support services,1
l4ORP_l5PO,Act as access point for potable water,Casinos and gaming,1
l4ORP_l5PO,Act as access point for potable water,Castles and fortifications,1
l4ORP_l5PO,Act as access point for potable water,Charity organisations,1
l4ORP_l5PO,Act as access point for potable water,Charity shops,1
l4ORP_l5PO,Act as access point for potable water,Children's clubs,1
l4ORP_l5PO,Act as access point for potable water,Cinemas,1
l4ORP_l5PO,Act as access point for potable water,Citizens Advice Bureaus,1
l4ORP_l5PO,Act as access point for potable water,Community centres,1
l4ORP_l5PO,Act as access point for potable water,Computer and electronics shops,1
l4ORP_l5PO,Act as access point for potable water,Conference and exhibition centres (animal racing),1
l4ORP_l5PO,Act as access point for potable water,Conference and exhibition centres (general),1
l4ORP_l5PO,Act as access point for potable water,Construction and engineering,1
l4ORP_l5PO,Act as access point for potable water,Consumer finance,1
l4ORP_l5PO,Act as access point for potable water,Council offices,1
l4ORP_l5PO,Act as access point for potable water,Couriers,1
l4ORP_l5PO,Act as access point for potable water,Courthouses,1
l4ORP_l5PO,Act as access point for potable water,Coworking office spaces,1
l4ORP_l5PO,Act as access point for potable water,Creative spaces,1
l4ORP_l5PO,Act as access point for potable water,Day centres,1
l4ORP_l5PO,Act as access point for potable water,Death-care services,1
l4ORP_l5PO,Act as access point for potable water,Dental and orthodontal practices,1
l4ORP_l5PO,Act as access point for potable water,Dining and catering services,1
l4ORP_l5PO,Act as access point for potable water,Diplomatic buildings,1
l4ORP_l5PO,Act as access point for potable water,Distribution centres,1
l4ORP_l5PO,Act as access point for potable water,Driving schools,1
l4ORP_l5PO,Act as access point for potable water,Eateries,1
l4ORP_l5PO,Act as access point for potable water,Electricity provider offices,1
l4ORP_l5PO,Act as access point for potable water,Environmental consulting and quantity surveying firms,1
l4ORP_l5PO,Act as access point for potable water,Events management,1
l4ORP_l5PO,Act as access point for potable water,Exterior building trades,1
l4ORP_l5PO,Act as access point for potable water,Financial advisors,1
l4ORP_l5PO,Act as access point for potable water,Fire stations,1
l4ORP_l5PO,Act as access point for potable water,Food banks,1
l4ORP_l5PO,Act as access point for potable water,Furnishing retail,1
l4ORP_l5PO,Act as access point for potable water,Furnishing services,1
l4ORP_l5PO,Act as access point for potable water,Gas provider offices,1
l4ORP_l5PO,Act as access point for potable water,Healthcare (alternative),1
l4ORP_l5PO,Act as access point for potable water,Healthcare (physiotherapy),1
l4ORP_l5PO,Act as access point for potable water,Healthcare (specialist),1
l4ORP_l5PO,Act as access point for potable water,Healthcare outpatient services,1
l4ORP_l5PO,Act as access point for potable water,Higher education,1
l4ORP_l5PO,Act as access point for potable water,Home and outdoor maintenance retail,1
l4ORP_l5PO,Act as access point for potable water,Home and outdoor maintenance services,1
l4ORP_l5PO,Act as access point for potable water,Homeless shelters,1
l4ORP_l5PO,Act as access point for potable water,Hospitals (general),1
l4ORP_l5PO,Act as access point for potable water,Hospitals (with A&E),1
l4ORP_l5PO,Act as access point for potable water,Hotels,1
l4ORP_l5PO,Act as access point for potable water,Insurance provider offices,1
l4ORP_l5PO,Act as access point for potable water,Integrated waste facilities,1
l4ORP_l5PO,Act as access point for potable water,Interior building trades,1
l4ORP_l5PO,Act as access point for potable water,Internet cafes,1
l4ORP_l5PO,Act as access point for potable water,IT software and services,1
l4ORP_l5PO,Act as access point for potable water,Learned societies,1
l4ORP_l5PO,Act as access point for potable water,Legal services,1
l4ORP_l5PO,Act as access point for potable water,Libraries and archives,1
l4ORP_l5PO,Act as access point for potable water,Lifeboat stations,1
l4ORP_l5PO,Act as access point for potable water,Locksmiths and cobblers,1
l4ORP_l5PO,Act as access point for potable water,Manufacturing (consumer discretionary),1
l4ORP_l5PO,Act as access point for potable water,Manufacturing (consumer staples),1
l4ORP_l5PO,Act as access point for potable water,Manufacturing (energy),1
l4ORP_l5PO,Act as access point for potable water,Manufacturing (healthcare),1
l4ORP_l5PO,Act as access point for potable water,Manufacturing (industrials),1
l4ORP_l5PO,Act as access point for potable water,Manufacturing (IT hardware),1
l4ORP_l5PO,Act as access point for potable water,Manufacturing (materials),1
l4ORP_l5PO,Act as access point for potable water,"Marinas, boatyards, and ferry terminals",1
l4ORP_l5PO,Act as access point for potable water,Medical laboratories,1
l4ORP_l5PO,Act as access point for potable water,Medical practices,1
l4ORP_l5PO,Act as access point for potable water,Mental health services,1
l4ORP_l5PO,Act as access point for potable water,Multi-line retail,1
l4ORP_l5PO,Act as access point for potable water,Museums and art galleries,1
l4ORP_l5PO,Act as access point for potable water,Music and theatre venues,1
l4ORP_l5PO,Act as access point for potable water,National government buildings,1
l4ORP_l5PO,Act as access point for potable water,Nurseries,1
l4ORP_l5PO,Act as access point for potable water,Observatories,1
l4ORP_l5PO,Act as access point for potable water,Offices (other),1
l4ORP_l5PO,Act as access point for potable water,Off-licenses,1
l4ORP_l5PO,Act as access point for potable water,Opticians and ophthalmologists,1
l4ORP_l5PO,Act as access point for potable water,Other discretionary goods retail,1
l4ORP_l5PO,Act as access point for potable water,Other discretionary services,1
l4ORP_l5PO,Act as access point for potable water,Other staple goods retail,1
l4ORP_l5PO,Act as access point for potable water,Parliamentary buildings,1
l4ORP_l5PO,Act as access point for potable water,Pharmacies,1
l4ORP_l5PO,Act as access point for potable water,Police stations,1
l4ORP_l5PO,Act as access point for potable water,Political offices,1
l4ORP_l5PO,Act as access point for potable water,Post offices,1
l4ORP_l5PO,Act as access point for potable water,Power stations,1
l4ORP_l5PO,Act as access point for potable water,Prison and jails,1
l4ORP_l5PO,Act as access point for potable water,Public drinking water points,1
l4ORP_l5PO,Act as access point for potable water,Publishing offices,1
l4ORP_l5PO,Act as access point for potable water,Real estate management offices,1
l4ORP_l5PO,Act as access point for potable water,Recycling centres,1
l4ORP_l5PO,Act as access point for potable water,Registrar offices,1
l4ORP_l5PO,Act as access point for potable water,Religious buildings,1
l4ORP_l5PO,Act as access point for potable water,Removal services,1
l4ORP_l5PO,Act as access point for potable water,Research and consulting services,1
l4ORP_l5PO,Act as access point for potable water,Residential properties,1
l4ORP_l5PO,Act as access point for potable water,Retail headquarters,1
l4ORP_l5PO,Act as access point for potable water,Schools,1
l4ORP_l5PO,Act as access point for potable water,Security services,1
l4ORP_l5PO,Act as access point for potable water,Shopping centres,1
l4ORP_l5PO,Act as access point for potable water,Smaller food markets,1
l4ORP_l5PO,Act as access point for potable water,Social work offices,1
l4ORP_l5PO,Act as access point for potable water,Sports clubhouses,1
l4ORP_l5PO,Act as access point for potable water,Sports facilities (indoor),1
l4ORP_l5PO,Act as access point for potable water,"Sports facilities (outdoor, impermeable, with club)",1
l4ORP_l5PO,Act as access point for potable water,"Sports facilities (outdoor, permeable, with club)",1
l4ORP_l5PO,Act as access point for potable water,Springs and wells,1
l4ORP_l5PO,Act as access point for potable water,Stables,1
l4ORP_l5PO,Act as access point for potable water,Subway stations,1
l4ORP_l5PO,Act as access point for potable water,Supermarkets,1
l4ORP_l5PO,Act as access point for potable water,Takeaways and fast food,1
l4ORP_l5PO,Act as access point for potable water,Tourism offices,1
l4ORP_l5PO,Act as access point for potable water,Train stations (major),1
l4ORP_l5PO,Act as access point for potable water,Train stations (minor),1
l4ORP_l5PO,Act as access point for potable water,Training centres,1
l4ORP_l5PO,Act as access point for potable water,Transport providers and control centres,1
l4ORP_l5PO,Act as access point for potable water,Travel agencies,1
l4ORP_l5PO,Act as access point for potable water,Traveller sites,1
l4ORP_l5PO,Act as access point for potable water,Union offices,1
l4ORP_l5PO,Act as access point for potable water,Utility trades,1
l4ORP_l5PO,Act as access point for potable water,Vehicle depots,1
l4ORP_l5PO,Act as access point for potable water,Vehicle impounds,1
l4ORP_l5PO,Act as access point for potable water,Vehicle maintenance services,1
l4ORP_l5PO,Act as access point for potable water,Vehicle rental services,1
l4ORP_l5PO,Act as access point for potable water,Veterinary practices,1
l4ORP_l5PO,Act as access point for potable water,Waste collection service offices,1
l4ORP_l5PO,Act as access point for potable water,Waste sorting centres,1
l4ORP_l5PO,Act as access point for potable water,Wastewater treatment works,1
l4ORP_l5PO,Act as access point for potable water,Water treatment works,1
l4ORP_l5PO,Act as access point for potable water,Wholesale retail,1
l4ORP_l5PO,Act as access point for public transport,Airports (major),1
l4ORP_l5PO,Act as access point for public transport,Airports (minor),1
l4ORP_l5PO,Act as access point for public transport,Bus stations,1
l4ORP_l5PO,Act as access point for public transport,Bus stops,1
l4ORP_l5PO,Act as access point for public transport,Subway stations,1
l4ORP_l5PO,Act as access point for public transport,Train stations (major),1
l4ORP_l5PO,Act as access point for public transport,Train stations (minor),1
l4ORP_l5PO,Act as access point for public transport,Tram stops,1
l4ORP_l5PO,Act as access point for sanitation,Accountancy firms,1
l4ORP_l5PO,Act as access point for sanitation,Advertising,1
l4ORP_l5PO,Act as access point for sanitation,Agriculture and aquaculture,1
